,Name,Entity,Notes,IDN,DNSSEC
0,.allfinanz,Allfinanz Deutsche Vermögensberatung Aktiengesellschaft,[149],不明,Yes
1,.android,Google (Android),[150],不明,Yes
2,.aquarelle,Aquarelle.com,[151],不明,Yes
3,.axa,アクサ,[152],Yes[10],Yes
4,.barclays,バークレイズ,[153],不明,Yes
5,.barclaycard,バークレイズ,[153],不明,Yes
6,.bloomberg,ブルームバーグ,[154],不明,Yes
7,.bmw,BMW,[155],No,Yes
8,.bnl,国立労働銀行,[156],不明,Yes
9,.bnpparibas,BNPパリバ,[157],不明,Yes
10,.cal,Google（Googleカレンダー）,[158],不明,Yes
11,.caravan,"Caravan International, Inc.",[159],不明,Yes
12,.cern,欧州原子核研究機構,[160],不明,Yes
13,.chrome,Google (Google Chrome),[161],不明,Yes
14,.citic,中国中信（英語版）,[162],No,Yes
15,.crs,Federated Co-operatives Limited(Co-Operative Retailing System),[163],不明,Yes
16,.cuisinella,Société Alsacienne de Meubles (Cuisinella),[164],不明,Yes
17,.dnp,大日本印刷,[165],不明,Yes
18,.dvag,Deutsche Vermögensberatung Aktiengesellschaft,[166],不明,Yes
19,.emerck,メルク,[167],不明,Yes
20,.everbank,EverBank,[168],不明,Yes
21,.firmdale,Firmdale Holdings,[169],不明,Yes
22,.flsmidth,FLSmidth A/S,[170],不明,Yes
23,.frogans,OP3FT,Solely for use by the Frogans technology[171],Yes[10],Yes
24,.gbiz,Google,[172],不明,Yes
25,.gle,Google,[173],不明,Yes
26,.globo,Grupo Globo,[174],No,Yes
27,.gmail,Google (Gmail),[175],不明,Yes
28,.gmo,GMOインターネット,[176],不明,Yes
29,.gmx,1&1 Mail & Media (Global Message Exchange),[177],不明,Yes
30,.google,Google,[178],不明,Yes
31,.hsbc,HSBC,[179],不明,Yes
32,.ibm,IBM,[180],不明,Yes
33,.kred,KredTLD,[181],不明,Yes
34,.lacaixa,Caixa d’Estalvis i Pensions de Barcelona,[182],不明,Yes
35,.latrobe,ラ・トローブ大学,[183],不明,Yes
36,.lds,末日聖徒イエス・キリスト教会[184],[185],不明,Yes
37,.mango,MANGO,[186],ラテン文字[10],Yes
38,.mini,BMW（ミニ）,[187],No,Yes
39,.monash,モナシュ大学,[188][189],No,Yes
40,.mormon,末日聖徒イエス・キリスト教会[184],[190],不明,Yes
41,.neustar,Neustar,[191],No,Yes
42,.nexus,Google (Google Nexus),[192],不明,Yes
43,.nhk,日本放送協会(NHK),[193],不明,Yes
44,.nico,ドワンゴ,[194],不明,Yes
45,.nra,全米ライフル協会,[195],不明,Yes
46,.ntt,日本電信電話 (NTT),[196],不明,Yes
47,.otsuka,大塚ホールディングス,[197],不明,Yes
48,.ovh,OVH,[198],French[10],Yes
49,.piaget,ピアジェ,[199],不明,Yes
50,.pohl,Deutsche Vermögensberatung Aktiengesellschaft(founder Reinfried Pohl),[200],不明,Yes
51,.praxi,Praxi,[201],不明,Yes
52,.prod,Google (products),[202],不明,Yes
53,.sca,Svenska Cellulosa Aktiebolaget,[203],不明,Yes
54,.scb,サイアム商業銀行,,タイ語[10],Yes
55,.schmidt,Société Alsacienne de Meubles (Cuisines Schmidt),[204],不明,Yes
56,.sohu,Sohu,[205],不明,Yes
57,.spiegel,Spiegel-Verlag,[206],不明,Yes
58,.suzuki,スズキ,[207],不明,Yes
59,.tui,トゥイ,[208],不明,Yes
60,.uol,ウニヴェルソ・オンライン,Delegated to UOL subsidiary UBN Internet.[209],不明,Yes
61,.williamhill,ウィリアムヒル,[210],不明,Yes
62,.wme,ウィリアム・モリス・エンデヴァー・エンターテイメント,[211],不明,Yes
63,.wtc,ワールドトレードセンター協会（英語版）,[212],不明,Yes
64,.yandex,ヤンデックス,[213],不明,Yes
65,.youtube,Google (YouTube),[214],不明,Yes
